age,potential,growth,hieght,weight,foot,pos1,base_potential,market_value_millions,wages_dollars,release_clause
25,85,3,180,72,Left,CAM,82,40.5,85000.0,80.0
24,90,5,190,75,Left,CB,85,73.5,95000.0,130.5
24,91,3,182,78,Right,CM,88,124.0,270000.0,263.5
21,90,4,178,65,Left,RW,86,99.0,150000.0,190.6
24,86,5,181,74,Right,CDM,81,35.5,33000.0,77.2
25,87,3,175,70,Left,CDM,84,50.5,84000.0,89.6
23,90,4,171,69,Left,LW,86,97.5,195000.0,187.7
23,81,7,179,73,Right,CB,74,0.0,0.0,0.0
20,88,6,181,67,Right,LM,82,47.5,29000.0,109.3
22,83,6,185,78,Right,ST,77,17.0,83000.0,35.7
19,85,12,182,70,Left,CDM,73,7.0,15000.0,14.7
21,85,7,180,73,Left,LB,78,27.0,19000.0,62.1
18,90,7,173,70,Right,CM,83,68.5,60000.0,154.1
22,86,6,193,81,Left,CB,80,31.0,69000.0,65.1
18,85,12,181,79,Right,LM,73,7.0,12000.0,14.7
24,88,1,185,80,Right,CDM,87,88.5,150000.0,170.4
25,85,5,178,67,Right,CAM,80,31.0,48000.0,61.2
21,85,7,181,70,Left,RM,78,28.5,73000.0,0.0
22,88,4,178,75,Right,LW,84,61.5,145000.0,118.4
20,92,6,174,60,Right,CM,86,105.0,165000.0,236.3
27,85,0,180,81,Right,LW,85,57.5,200000.0,106.4
27,82,0,180,70,Right,ST,82,33.0,110000.0,62.7
26,85,2,173,68,Right,CM,83,44.5,42000.0,96.8
25,87,2,178,68,Right,CF,85,68.5,170000.0,135.3
25,85,1,175,70,Right,LM,84,50.5,140000.0,89.6
22,86,4,175,69,Right,CM,82,44.0,18000.0,91.3
22,83,5,192,80,Right,CM,78,21.5,38000.0,42.5
22,86,7,179,78,Right,CB,79,33.0,80000.0,67.7
21,86,8,180,78,Right,ST,78,32.0,15000.0,51.2
21,84,8,174,64,Right,LM,76,17.0,31000.0,35.7
21,87,7,185,78,Left,CB,80,40.0,12000.0,88.0
20,87,8,172,60,Right,LM,79,38.5,27000.0,88.6
18,86,12,179,77,Right,LM,74,10.0,12000.0,19.0
17,85,20,174,74,Right,RM,65,1.9,500.0,4.3
16,86,24,193,86,Right,CB,62,1.2,500.0,2.8
30,81,0,180,66,Right,LM,81,25.0,53000.0,47.5
23,81,6,175,71,Right,RW,75,9.0,74000.0,18.5
27,92,2,191,82,Right,CDM,90,129.5,260000.0,249.3
22,85,8,188,77,Left,CM,77,23.5,45000.0,47.0
24,85,5,185,77,Right,CDM,80,29.0,14000.0,60.2
23,87,4,193,81,Left,CB,83,47.0,105000.0,92.8
20,88,10,178,66,Right,LM,78,31.0,86000.0,0.0
20,85,10,194,89,Right,GK,75,10.5,30000.0,22.1
22,86,9,178,72,Left,LB,77,22.5,39000.0,42.8
19,84,12,176,68,Right,LW,72,5.5,6000.0,0.0
19,85,13,169,58,Left,RW,72,5.5,8000.0,11.1
32,88,0,176,73,Left,ST,88,74.0,135000.0,151.7
28,82,0,171,67,Right,CF,82,31.0,140000.0,57.4
29,86,0,182,74,Right,RB,86,59.5,195000.0,0.0
24,90,3,186,77,Right,ST,87,110.0,100000.0,195.3
22,87,5,185,77,Left,LB,82,43.5,59000.0,75.0
23,84,5,184,74,Right,CDM,79,24.5,13000.0,50.8
25,85,3,173,77,Right,LW,82,40.5,22000.0,84.0
23,86,3,171,67,Left,RW,83,49.5,105000.0,97.8
22,83,6,180,70,Left,LWB,77,16.0,47000.0,33.6
23,83,3,175,70,Right,ST,80,29.0,39000.0,57.3
22,86,5,182,77,Right,CDM,81,36.5,69000.0,70.3
23,86,8,168,62,Left,LM,78,31.0,23000.0,71.3
21,84,7,177,73,Right,CDM,77,20.0,10000.0,44.0
31,89,0,175,68,Right,LW,89,85.5,115000.0,136.8
32,88,0,176,73,Left,ST,88,74.0,135000.0,151.7
33,87,0,183,76,Right,CM,87,49.0,260000.0,100.5
28,88,0,173,64,Left,CM,88,91.5,270000.0,169.3
26,83,1,186,81,Right,CM,82,35.5,125000.0,70.1
23,86,4,170,68,Right,CAM,82,43.5,145000.0,92.4
24,80,4,180,73,Right,ST,76,11.0,78000.0,21.2
24,86,2,176,72,Right,CM,84,54.5,130000.0,104.9
22,84,6,182,82,Right,CB,78,20.5,34000.0,43.1
24,89,4,180,75,Right,CB,85,69.5,160000.0,147.7
23,89,5,188,82,Right,CDM,84,58.5,160000.0,124.3
22,83,5,182,76,Right,CB,78,19.5,90000.0,0.0
21,86,8,199,86,Right,GK,78,27.5,8000.0,60.5
19,84,10,177,71,Left,CAM,74,9.0,16000.0,18.9
22,83,5,173,68,Right,LB,78,20.0,90000.0,0.0
20,84,9,185,72,Right,ST,75,12.5,25000.0,23.8
21,85,7,186,81,Left,CB,78,26.5,25000.0,50.4
20,84,11,176,70,Right,ST,73,6.5,28000.0,0.0
20,85,10,177,68,Right,CAM,75,12.5,750.0,30.0
19,84,12,180,70,Right,CM,72,5.5,18000.0,11.6
21,82,8,179,67,Right,RW,74,9.5,14000.0,20.0
22,85,9,182,72,Left,CB,76,15.5,16000.0,35.7
18,85,13,178,72,Right,CF,72,5.5,14000.0,13.9
17,85,20,186,74,Right,CM,65,1.9,500.0,4.3
25,88,4,185,79,Right,CB,84,52.5,84000.0,93.2
24,85,3,187,73,Right,ST,82,42.0,90000.0,80.9
23,80,1,190,79,Left,RM,79,21.5,41000.0,0.0
21,82,10,189,78,Right,GK,72,4.6,14000.0,9.7
23,86,4,172,64,Right,CM,82,43.5,83000.0,83.7
26,82,1,178,71,Right,LM,81,30.5,95000.0,60.2
23,84,5,181,77,Right,ST,79,27.0,16000.0,56.0
20,83,9,185,77,Left,CAM,74,9.5,13000.0,16.2
21,84,11,170,68,Right,RM,73,7.0,12000.0,11.9
19,86,8,190,86,Right,CB,78,28.5,8000.0,62.7
29,90,0,188,85,Right,ST,90,119.5,170000.0,197.2
30,80,0,193,100,Right,CB,80,17.5,105000.0,33.3
31,83,0,178,68,Right,CDM,83,25.5,125000.0,47.2
26,79,0,183,73,Left,RM,79,19.0,39000.0,32.3
23,85,7,183,72,Right,ST,78,28.5,86000.0,54.2
24,85,6,190,86,Left,CB,79,25.0,39000.0,47.5
23,85,3,173,69,Right,RB,82,38.5,80000.0,76.0
22,89,4,193,85,Right,CB,85,71.0,130000.0,136.7
22,86,6,177,70,Left,RM,80,34.0,66000.0,71.4
23,86,3,191,86,Left,CB,83,44.5,51000.0,79.0
22,84,8,185,80,Right,CM,76,17.0,23000.0,32.3
20,85,8,181,71,Right,RB,77,22.0,57000.0,46.2
20,85,7,184,73,Left,CB,78,26.0,33000.0,49.4
20,84,11,190,74,Left,LB,73,6.5,12000.0,11.1
19,83,12,188,85,Left,LB,71,4.3,28000.0,0.0
18,85,15,188,79,Right,CB,70,3.5,3000.0,7.4
20,86,10,181,75,Right,CM,76,16.5,32000.0,37.1
17,84,19,191,84,Right,CAM,65,1.8,500.0,4.0
22,83,10,180,72,Right,RWB,73,6.5,59000.0,0.0
21,86,10,181,76,Right,CDM,76,16.0,26000.0,30.4
20,80,5,184,83,Left,LWB,75,8.0,17000.0,14.2
23,84,7,182,77,Left,LWB,77,20.0,66000.0,38.0
20,83,8,187,83,Left,LB,75,12.0,51000.0,25.2
19,84,10,181,71,Right,RB,74,8.5,34000.0,17.4
16,86,16,185,76,Left,ST,70,4.0,3000.0,8.5
17,86,16,185,72,Right,RM,70,4.0,2000.0,10.9
34,90,0,185,81,Right,ST,90,58.0,340000.0,118.9
31,86,0,185,84,Right,CDM,86,47.5,175000.0,90.3
29,86,0,177,75,Left,CF,86,68.0,130000.0,115.6
28,87,0,179,69,Right,CM,87,79.5,220000.0,151.1
30,79,0,177,83,Right,ST,79,0.0,0.0,0.0
25,90,2,174,72,Right,ST,88,116.0,180000.0,205.9
25,84,2,185,77,Right,RB,82,35.0,110000.0,67.4
25,88,3,184,81,Left,LB,85,66.0,90000.0,117.2
24,83,5,188,84,Right,RB,78,20.0,73000.0,38.5
23,85,4,180,76,Right,LM,81,37.0,110000.0,0.0
24,83,3,181,74,Right,CM,80,28.5,100000.0,56.3
23,83,5,167,71,Right,CM,78,0.0,0.0,0.0
25,83,2,175,78,Left,LB,81,29.5,82000.0,58.3
25,79,5,173,65,Right,CAM,74,6.0,35000.0,11.9
25,87,3,178,77,Left,CB,84,49.5,140000.0,97.8
22,85,10,196,87,Right,CB,75,12.0,46000.0,22.8
22,82,7,180,68,Right,CM,75,0.0,0.0,0.0
23,85,5,190,88,Right,CB,80,29.0,40000.0,57.3
23,85,7,169,63,Left,LB,78,27.0,100000.0,60.8
20,78,9,167,65,Left,RW,69,3.1,8000.0,0.0
22,86,6,191,82,Right,CB,80,31.0,46000.0,58.9
22,85,5,178,70,Right,RB,80,30.0,51000.0,51.8
21,83,8,182,70,Right,ST,75,12.5,52000.0,26.3
22,83,10,180,72,Right,RWB,73,6.5,59000.0,0.0
32,91,0,181,75,Right,CM,91,103.0,350000.0,190.6
31,89,0,193,92,Right,CB,89,70.5,220000.0,130.4
28,79,0,173,66,Right,CM,79,17.5,75000.0,33.3
27,86,0,171,68,Left,LWB,86,65.5,88000.0,111.4
28,82,0,171,70,Right,ST,82,31.0,77000.0,63.6
26,86,1,175,73,Right,CAM,85,63.5,135000.0,125.4
27,79,0,178,73,Left,CM,79,0.0,0.0,0.0
26,87,1,178,67,Left,RW,86,80.0,150000.0,154.0
23,78,8,180,81,Right,CB,70,3.3,18000.0,6.9
26,84,0,176,68,Left,RW,84,46.0,210000.0,94.3
22,83,7,168,56,Right,CM,76,15.0,26000.0,31.5
25,84,2,183,77,Left,CM,82,38.0,62000.0,67.5
26,82,3,189,78,Left,ST,79,23.0,34000.0,50.0
23,84,7,185,85,Right,ST,77,21.5,53000.0,40.9
24,85,5,172,70,Left,RW,80,32.0,66000.0,56.8
20,83,7,188,84,Right,ST,76,15.0,36000.0,28.5
19,85,17,182,75,Left,CM,68,3.1,18000.0,0.0
22,85,3,199,88,Left,GK,82,33.5,30000.0,72.9
20,84,9,172,68,Right,CAM,75,12.5,750.0,30.0
18,84,18,185,85,Right,ST,66,2.2,2000.0,4.5
19,85,12,187,74,Right,CM,73,7.0,16000.0,13.3
18,85,15,180,65,Left,RW,70,3.7,20000.0,0.0
18,85,20,174,70,Right,CF,65,2.0,3000.0,5.6
17,86,16,185,72,Right,RM,70,4.0,2000.0,10.9
18,83,18,175,60,Left,LB,65,1.7,1000.0,4.1
18,83,17,185,75,Right,CF,66,2.2,10000.0,5.1
18,86,18,195,84,Right,CB,68,2.9,8000.0,0.0
21,83,9,184,79,Left,CM,74,9.5,12000.0,19.0
21,84,8,191,80,Right,CB,76,15.5,34000.0,29.5
21,83,12,188,80,Right,CDM,71,0.0,0.0,0.0
21,84,9,178,70,Right,CM,75,12.5,14000.0,21.3
18,86,19,176,66,Left,CAM,67,2.6,4000.0,6.0
20,86,12,176,69,Left,RW,74,10.0,57000.0,0.0
18,83,14,192,85,Left,LWB,69,3.1,5000.0,0.0
19,86,12,178,71,Left,RW,74,10.0,12000.0,0.0
20,83,9,175,67,Right,RB,74,9.0,18000.0,18.9
32,86,0,180,80,Right,CM,86,53.5,220000.0,109.7
27,85,2,187,82,Right,CB,83,38.5,155000.0,81.8
28,75,0,188,78,Right,CF,75,6.0,66000.0,0.0
24,85,3,177,69,Right,RW,82,41.5,77000.0,73.7
25,84,3,192,80,Right,ST,81,34.5,90000.0,61.2
25,82,2,183,72,Right,RB,80,24.5,100000.0,48.4
24,85,5,186,73,Right,CDM,80,29.0,33000.0,63.1
25,80,2,181,85,Right,ST,78,18.0,62000.0,32.0
25,87,2,190,87,Left,CB,85,60.0,145000.0,115.5
26,79,1,177,78,Right,CF,78,0.0,0.0,0.0
23,89,5,189,89,Right,CB,84,57.5,70000.0,99.2
24,84,3,168,65,Left,RW,81,35.0,19000.0,72.6
23,85,2,180,91,Right,RB,83,43.5,105000.0,85.9
26,84,2,191,80,Left,CB,82,33.5,95000.0,66.2
21,84,9,192,80,Right,GK,75,11.0,8000.0,18.7
25,87,4,179,72,Right,CAM,83,50.5,71000.0,89.6
21,86,7,190,77,Right,CM,79,35.5,76000.0,72.8
22,83,5,180,72,Right,LM,78,21.5,66000.0,42.5
21,84,6,178,66,Right,ST,78,23.0,41000.0,48.3
21,82,8,190,87,Right,CB,74,9.0,24000.0,0.0
22,82,7,182,75,Right,CDM,75,10.5,20000.0,21.0
22,84,6,192,79,Left,CAM,78,22.5,52000.0,0.0
21,80,7,175,70,Right,LW,73,6.0,28000.0,12.6
21,83,9,184,79,Left,CM,74,9.5,12000.0,19.0
26,71,1,181,68,Right,CAM,70,1.9,23000.0,3.8
28,84,0,184,74,Right,CM,84,42.0,85000.0,86.1
26,82,1,175,64,Left,LB,81,27.5,105000.0,52.9
28,82,0,180,73,Left,LB,82,27.5,160000.0,56.4
24,83,3,183,82,Right,ST,80,29.0,15000.0,45.7
26,84,1,175,73,Right,ST,83,43.5,150000.0,83.7
25,81,3,176,70,Right,CM,78,18.5,68000.0,0.0
26,77,0,176,70,Right,LM,77,0.0,0.0,0.0
23,80,5,183,73,Right,CM,75,8.5,67000.0,0.0
24,76,3,189,82,Left,RM,73,0.0,0.0,0.0
23,82,5,181,75,Right,CAM,77,16.0,29000.0,28.4
24,83,3,177,79,Right,LW,80,29.0,22000.0,51.5
22,84,5,190,84,Right,CB,79,24.5,80000.0,48.4
23,80,9,181,66,Right,CDM,71,3.9,21000.0,8.2
22,84,9,190,72,Right,ST,75,12.5,21000.0,27.5
24,84,7,190,86,Left,CB,77,19.5,950.0,46.8
23,87,6,191,83,Right,GK,81,33.0,37000.0,62.7
23,85,7,172,69,Right,CF,78,28.5,49000.0,54.2
20,83,8,178,75,Right,CM,75,12.5,37000.0,23.8
20,83,9,173,67,Left,RW,74,9.5,63000.0,20.0
22,83,8,194,86,Left,CB,75,12.0,15000.0,20.4
23,84,6,185,82,Right,CB,78,20.0,15000.0,32.0
19,86,12,180,70,Right,CAM,74,10.0,9000.0,17.0
18,82,20,176,70,Right,CM,62,1.1,2000.0,3.0
17,84,16,170,63,Left,LM,68,3.0,750.0,7.9
20,82,7,173,75,Right,CM,75,11.0,950.0,26.4
19,85,16,184,67,Right,CAM,69,3.6,10000.0,9.1
23,84,5,183,86,Right,CM,79,26.5,46000.0,47.0
16,84,21,178,66,Right,CAM,63,1.5,500.0,3.4
18,85,18,183,72,Right,CAM,67,2.6,500.0,7.3
18,84,17,187,73,Right,ST,67,2.6,12000.0,6.6
17,84,16,166,63,Right,RM,68,3.0,700.0,7.9
20,82,8,190,75,Right,CM,74,9.0,6000.0,15.3
21,83,6,183,72,Left,LB,77,16.0,12000.0,25.6
21,84,13,180,80,Right,CB,71,4.3,6000.0,8.7
16,81,19,176,70,Left,CM,62,1.0,1000.0,2.5
35,88,0,185,81,Right,ST,88,39.0,86000.0,62.4
36,84,0,182,86,Right,ST,84,14.5,14000.0,21.8
33,84,0,183,83,Right,RB,84,22.0,155000.0,40.7
32,82,0,174,70,Right,CM,82,24.0,125000.0,44.4
31,81,0,176,79,Right,CAM,81,21.5,32000.0,45.2
30,84,0,185,82,Left,CDM,84,35.5,74000.0,60.4
29,82,0,186,86,Right,CDM,82,26.0,57000.0,44.2
27,75,0,178,86,Right,RM,75,6.0,63000.0,11.4
27,81,0,187,82,Right,ST,81,28.0,38000.0,47.6
26,81,0,173,67,Right,LM,81,28.0,47000.0,47.6
24,84,5,195,85,Right,ST,79,27.0,51000.0,47.9
25,87,4,185,79,Right,CB,83,45.5,95000.0,89.9
25,90,3,195,88,Right,GK,87,81.5,64000.0,144.7
24,83,4,183,76,Right,ST,79,25.5,68000.0,50.4
24,80,3,175,66,Left,LM,77,14.5,27000.0,27.2
30,81,0,185,83,Right,ST,81,25.5,21000.0,51.0
24,82,4,180,72,Right,RM,78,20.0,52000.0,0.0
22,84,9,175,71,Left,CM,75,12.5,17000.0,28.8
23,85,5,187,82,Right,CB,80,29.0,46000.0,51.5
22,82,8,181,79,Right,ST,74,9.5,23000.0,19.0
24,85,4,194,84,Right,CB,81,33.0,49000.0,58.6
21,87,5,180,70,Left,LB,82,43.5,63000.0,83.7
21,86,9,179,70,Right,CM,77,23.5,62000.0,0.0
21,86,12,191,73,Right,GK,74,9.0,19000.0,0.0
23,85,7,184,82,Right,CB,78,26.0,47000.0,49.4
19,83,11,181,66,Left,ST,72,5.0,18000.0,10.5
22,84,7,173,74,Right,RB,77,20.5,37000.0,43.1
18,82,15,179,71,Left,LB,67,2.3,7000.0,0.0
17,85,21,176,64,Right,RW,64,1.8,4000.0,5.1
17,84,16,166,63,Right,RM,68,3.0,700.0,7.9
20,82,8,190,75,Right,CM,74,9.0,6000.0,15.3
23,82,7,193,79,Right,ST,75,11.5,21000.0,26.5
30,81,0,178,69,Right,RB,81,22.0,46000.0,41.8
23,82,6,180,75,Right,ST,76,12.0,14000.0,26.4
23,84,6,185,76,Left,LB,78,21.0,20000.0,48.3
23,86,6,182,74,Right,CAM,80,33.5,51000.0,63.7
24,86,4,189,76,Right,CF,82,44.0,120000.0,84.7
22,84,5,183,72,Right,LW,79,27.0,100000.0,53.3
22,80,6,170,66,Right,CDM,74,6.0,46000.0,12.6
20,85,8,168,64,Left,CAM,77,23.0,65000.0,47.2
25,84,3,188,80,Left,CB,81,30.5,21000.0,45.0
21,82,6,185,72,Right,RB,76,11.5,32000.0,24.2
27,81,1,189,83,Right,CDM,80,21.5,18000.0,0.0
21,83,11,183,78,Right,CB,72,4.9,21000.0,10.8
20,85,10,171,69,Right,CAM,75,12.5,7000.0,21.3
20,84,12,181,82,Left,CDM,72,5.5,6000.0,9.1
20,82,8,179,73,Right,RB,74,9.0,9000.0,14.4
20,80,6,181,77,Left,LB,74,6.0,24000.0,0.0
18,83,14,177,79,Right,CM,69,3.2,4000.0,6.8
19,78,14,179,73,Right,ST,64,1.4,10000.0,3.5
21,82,8,174,68,Left,LB,74,9.0,20000.0,18.9
21,82,8,185,77,Right,CM,74,9.5,21000.0,20.0
22,81,7,184,79,Right,CDM,74,8.0,16000.0,13.6
23,80,7,186,72,Right,RM,73,6.0,26000.0,12.6
18,82,17,175,68,Right,LM,65,1.8,7000.0,0.0
19,83,12,180,73,Right,RWB,71,4.3,5000.0,7.3
16,86,25,176,70,Left,CAM,61,1.0,2000.0,2.9
18,84,18,180,74,Right,CDM,66,2.1,1000.0,4.3
20,83,9,178,70,Right,ST,74,9.5,24000.0,20.0
17,86,16,170,65,Right,CAM,70,4.0,7000.0,0.0
38,76,0,168,65,Right,CM,76,2.4,9000.0,3.8
37,83,0,184,82,Right,CB,83,6.5,28000.0,13.7
38,84,0,183,79,Right,CB,84,7.5,100000.0,14.3
37,86,0,172,66,Right,CM,86,21.5,175000.0,44.1
32,85,0,173,71,Right,RB,85,37.5,150000.0,71.3
32,75,0,190,88,Right,ST,75,4.6,16000.0,9.2
34,82,0,180,71,Right,CAM,82,14.5,60000.0,24.7
30,84,0,185,82,Left,CDM,84,35.5,74000.0,60.4
33,82,0,180,76,Right,CB,82,14.5,155000.0,29.7
30,83,0,184,84,Left,LM,83,35.0,130000.0,59.5
36,76,0,179,74,Right,ST,76,2.6,34000.0,4.7
27,80,0,180,76,Right,LW,80,22.5,63000.0,0.0
28,82,0,186,85,Right,CDM,82,27.0,65000.0,45.9
27,84,1,195,94,Right,CB,83,36.5,67000.0,64.8
27,81,0,191,88,Right,CM,81,27.5,74000.0,46.8
29,85,0,183,82,Right,RB,85,47.5,86000.0,80.8
26,86,2,183,83,Right,CDM,84,47.0,62000.0,78.7
25,85,2,174,76,Left,LWB,83,42.0,90000.0,74.6
26,80,1,183,74,Right,CDM,79,18.5,48000.0,34.7
25,82,3,197,90,Right,GK,79,18.0,71000.0,35.6
25,79,1,183,82,Right,LB,78,15.5,39000.0,27.5
25,83,1,178,77,Left,RM,82,36.5,100000.0,72.1
24,85,2,176,68,Right,RM,83,47.0,57000.0,83.4
26,82,1,184,72,Right,CAM,81,30.5,60000.0,54.1
25,83,2,183,65,Right,RB,81,29.5,60000.0,50.9
25,82,3,180,75,Left,LB,79,21.5,48000.0,38.2
