age,potential,growth,hieght,weight,foot,pos1,base_potential,market_value_millions,wages_dollars,release_clause
20,62,8,183,79,Left,LB,54,0.23,1000.0,0.449
19,79,17,180,70,Right,RM,62,1.0,4000.0,2.5
18,78,14,175,66,Right,CDM,64,1.3,550.0,2.7
18,75,19,190,78,Right,CB,56,0.35,3000.0,0.884
24,66,4,186,73,Right,RB,62,0.525,550.0,0.696
19,74,10,175,60,Right,LW,64,1.3,2000.0,3.1
25,70,4,174,64,Right,CM,66,1.2,3000.0,2.6
23,82,6,194,88,Right,GK,76,9.5,50000.0,20.0
25,67,3,183,75,Left,CB,64,0.7,2000.0,1.3
21,66,9,178,79,Right,ST,57,0.375,1000.0,0.619
18,80,19,168,57,Right,CB,61,0.775,500.0,2.1
23,81,6,184,75,Right,CB,75,8.0,13000.0,16.0
20,62,7,180,80,Right,GK,55,0.21,500.0,0.504
26,69,1,178,77,Right,ST,68,1.4,600.0,3.2
22,80,10,175,72,Right,CDM,70,3.4,2000.0,6.1
22,62,10,188,77,Left,GK,52,0.16,3000.0,0.336
18,74,17,176,70,Right,CAM,57,0.425,600.0,0.839
27,51,2,183,73,Right,CB,49,0.05,2000.0,0.081
24,78,5,188,79,Right,ST,73,4.7,7000.0,7.4
24,68,3,170,70,Right,RM,65,0.975,3000.0,1.8
22,72,11,186,86,Right,ST,61,0.75,3000.0,1.8
18,69,16,165,65,Left,CDM,53,0.23,500.0,0.431
18,61,8,175,71,Right,LW,53,0.2,1000.0,0.39
22,71,7,186,78,Right,CB,64,1.1,950.0,1.8
33,79,0,182,71,Right,CM,79,11.0,32000.0,23.1
27,75,0,178,86,Right,RM,75,6.0,63000.0,11.4
19,77,9,174,61,Right,RM,68,2.6,500.0,6.2
17,76,21,192,80,Left,CB,55,0.375,500.0,0.881
18,73,16,172,68,Right,CM,57,0.425,850.0,0.882
19,65,13,175,72,Right,CM,52,0.19,1000.0,0.375
20,60,11,176,64,Right,CDM,49,0.1,500.0,0.155
29,80,0,192,75,Right,CB,80,17.5,57000.0,29.8
30,73,0,196,88,Right,GK,73,2.0,8000.0,2.9
24,84,7,186,86,Right,ST,77,21.5,25000.0,43.0
23,78,4,185,79,Right,ST,74,6.0,29000.0,11.9
18,74,19,183,71,Right,CAM,55,0.325,600.0,0.674
22,74,8,176,75,Left,LB,66,1.8,600.0,2.9
26,79,0,183,73,Left,RM,79,19.0,39000.0,32.3
26,69,0,167,62,Left,RM,69,1.5,9000.0,2.9
24,84,5,179,69,Right,LW,79,26.5,21000.0,39.1
26,63,3,184,83,Right,CM,60,0.3,1000.0,0.406
19,72,14,185,82,Right,CDM,58,0.45,500.0,1.3
19,72,10,181,78,Left,CB,62,0.8,500.0,1.2
29,73,0,181,83,Left,LB,73,2.7,30000.0,4.6
28,72,0,178,70,Right,LW,72,2.4,19000.0,3.1
22,65,5,182,77,Right,GK,60,0.3,500.0,0.668
26,69,1,181,76,Right,RWB,68,1.3,3000.0,2.4
30,63,0,185,79,Right,CB,63,0.0,0.0,0.0
20,67,10,175,70,Right,RB,57,0.35,2000.0,0.735
18,70,15,187,70,Right,LM,55,0.3,500.0,0.593
35,67,0,174,70,Right,RW,67,0.425,500.0,0.935
22,65,9,184,80,Right,ST,56,0.325,2000.0,0.504
18,80,17,185,78,Right,CB,63,1.1,850.0,2.2
19,71,11,183,77,Right,ST,60,0.525,7000.0,0.0
19,60,10,183,78,Left,CM,50,0.1,900.0,0.195
37,79,0,171,68,Right,CAM,79,5.5,10000.0,7.2
35,66,0,188,80,Left,CM,66,0.35,3000.0,0.683
26,83,1,186,81,Right,CM,82,35.5,125000.0,70.1
19,64,11,180,70,Right,CAM,53,0.2,500.0,0.35
20,66,15,182,77,Right,RW,51,0.14,950.0,0.263
18,62,12,173,70,Left,LB,50,0.1,700.0,0.185
18,73,16,175,72,Left,RW,57,0.425,1000.0,1.1
20,68,14,181,72,Right,LW,54,0.25,1000.0,0.494
22,73,6,190,79,Right,ST,67,1.7,5000.0,2.8
23,75,7,175,68,Right,RB,68,2.3,5000.0,5.4
19,66,11,175,64,Right,RB,55,0.25,500.0,0.588
20,75,12,192,79,Right,CB,63,1.1,700.0,2.0
26,69,0,174,65,Right,LW,69,1.5,700.0,3.3
23,66,7,183,82,Left,LB,59,0.425,1000.0,0.723
25,69,6,181,83,Right,GK,63,0.6,500.0,1.4
20,68,10,179,70,Right,GK,58,0.375,500.0,0.881
30,58,0,182,73,Right,GK,58,0.14,500.0,0.301
25,72,4,190,81,Left,CB,68,1.5,3000.0,2.3
20,66,7,174,62,Right,RW,59,0.45,500.0,1.1
27,72,0,177,68,Right,CM,72,2.5,7000.0,3.6
24,81,3,183,81,Right,ST,78,19.5,37000.0,34.6
21,67,8,180,76,Right,ST,59,0.5,1000.0,0.825
19,55,15,170,69,Right,ST,40,0.0,0.0,0.0
28,71,0,182,72,Right,CM,71,1.9,19000.0,3.6
19,65,13,162,60,Right,RW,52,0.19,500.0,0.375
27,77,0,177,70,Right,CAM,77,11.0,71000.0,20.9
24,65,4,177,81,Right,CM,61,0.3,2000.0,0.0
36,78,0,190,80,Right,GK,78,1.6,13000.0,3.4
18,77,17,182,74,Right,RB,60,0.6,1000.0,1.3
23,71,6,191,82,Right,CB,65,1.0,2000.0,1.7
17,84,14,186,67,Right,CF,70,3.7,2000.0,8.0
18,70,14,188,71,Right,CB,56,0.3,550.0,0.713
19,60,7,188,86,Right,GK,53,0.15,600.0,0.293
21,68,6,169,65,Left,LM,62,0.65,650.0,1.1
22,66,10,180,71,Right,RM,56,0.325,2000.0,0.488
29,82,0,173,58,Left,LB,82,27.0,1000.0,56.7
21,76,9,179,75,Right,CF,67,2.3,7000.0,0.0
21,76,9,173,75,Right,CAM,67,2.3,500.0,5.5
21,77,7,182,76,Right,RB,70,3.1,6000.0,5.3
26,73,3,168,62,Right,CB,70,1.8,500.0,3.9
20,73,13,183,76,Left,LB,60,0.575,5000.0,0.0
25,72,2,188,80,Right,CB,70,1.8,16000.0,3.6
18,65,14,180,70,Right,CDM,51,0.13,600.0,0.276
17,77,19,173,70,Right,RM,58,0.5,500.0,1.4
25,70,5,186,80,Right,GK,65,0.825,2000.0,1.4
22,68,9,174,70,Right,LM,59,0.5,4000.0,1.2
23,67,7,172,60,Right,ST,60,0.5,850.0,0.875
22,68,9,182,75,Right,CM,59,0.5,1000.0,0.875
19,81,14,182,75,Right,LM,67,2.4,2000.0,5.0
18,76,17,189,80,Left,CM,59,0.575,2000.0,1.4
17,78,20,180,76,Right,CB,58,0.525,500.0,1.5
27,63,1,184,81,Right,CB,62,0.4,2000.0,0.61
27,57,0,178,70,Left,LB,57,0.16,500.0,0.216
23,83,8,192,73,Left,CB,75,11.5,19000.0,26.5
20,62,12,168,65,Right,CDM,50,0.11,2000.0,0.204
21,80,7,170,67,Right,CDM,73,6.0,23000.0,0.0
26,72,1,171,65,Right,LW,71,2.2,6000.0,2.9
20,79,14,182,75,Left,LB,65,1.6,1000.0,3.2
23,71,5,176,78,Right,RB,66,1.2,2000.0,2.6
25,67,3,174,71,Left,CAM,64,0.575,1000.0,0.819
23,73,6,181,73,Right,CAM,67,0.7,15000.0,0.0
29,78,0,183,75,Left,CM,78,13.5,44000.0,25.7
25,61,2,190,82,Right,CDM,59,0.25,900.0,0.356
22,69,9,180,76,Right,RM,60,0.55,4000.0,0.0
34,74,0,190,94,Right,CB,74,1.4,25000.0,2.5
32,64,0,186,81,Left,CM,64,0.45,2000.0,0.653
20,74,12,184,78,Right,CM,62,0.95,2000.0,1.6
22,58,7,180,72,Right,ST,51,0.05,500.0,0.088
28,75,0,175,70,Left,CM,75,5.5,950.0,12.1
22,67,5,179,78,Right,RB,62,0.575,2000.0,1.0
19,78,14,177,67,Right,CM,64,1.4,1000.0,3.1
19,75,13,175,66,Left,LB,62,0.9,1000.0,1.7
20,71,9,170,64,Right,CM,62,0.875,6000.0,1.6
19,73,13,184,75,Right,CM,60,0.575,650.0,1.4
21,66,5,171,63,Right,LW,61,0.5,2000.0,1.1
22,72,10,191,80,Left,CDM,62,0.85,1000.0,1.7
27,71,0,170,68,Left,CAM,71,2.0,10000.0,3.0
29,67,0,180,78,Right,CDM,67,0.875,5000.0,1.1
25,75,4,188,78,Left,CB,71,2.3,3000.0,0.0
26,70,1,183,72,Right,ST,69,1.7,8000.0,3.1
18,75,19,182,73,Right,ST,56,0.375,2000.0,0.984
23,71,8,190,83,Right,CB,63,1.0,1000.0,1.6
19,65,10,183,78,Left,LB,55,0.25,700.0,0.488
21,68,7,192,82,Right,CB,61,0.625,1000.0,0.0
26,64,0,179,71,Right,RM,64,0.65,500.0,1.4
30,64,0,188,86,Left,CB,64,0.475,2000.0,0.713
19,74,15,186,82,Right,CB,59,0.5,3000.0,1.3
20,65,9,178,77,Right,RB,56,0.3,1000.0,0.585
22,76,9,188,85,Right,CAM,67,2.3,2000.0,4.1
20,77,10,182,74,Left,LB,67,2.1,500.0,5.0
24,72,5,191,76,Right,GK,67,1.2,5000.0,2.0
20,71,13,191,82,Right,GK,58,0.425,2000.0,1.1
23,65,5,187,76,Left,GK,60,0.3,900.0,0.458
26,77,1,168,59,Right,CAM,76,9.0,850.0,19.6
20,67,10,185,75,Right,ST,57,0.375,500.0,0.881
23,68,6,182,75,Right,CAM,62,0.625,750.0,1.0
25,76,5,180,78,Right,CM,71,2.7,6000.0,5.1
25,71,2,178,70,Left,LB,69,1.6,33000.0,0.0
19,71,13,191,85,Right,ST,58,0.475,800.0,1.1
40,79,0,184,80,Right,GK,79,1.9,13000.0,4.0
25,66,3,179,76,Right,RM,63,0.625,1000.0,0.953
27,69,0,179,82,Right,ST,69,1.5,4000.0,3.2
27,53,0,168,58,Right,CAM,53,0.1,2000.0,0.165
24,63,5,176,72,Right,ST,58,0.3,2000.0,0.608
29,75,0,189,84,Right,CDM,75,4.8,1000.0,10.6
26,63,1,177,73,Right,ST,62,0.475,2000.0,0.0
18,83,14,177,79,Right,CM,69,3.2,4000.0,6.8
34,68,0,185,83,Right,CB,68,0.4,4000.0,0.62
26,65,1,173,68,Left,LB,64,0.625,2000.0,0.891
20,54,7,175,70,Right,RW,47,0.09,1000.0,0.135
35,74,0,186,82,Right,CB,74,1.1,13000.0,2.3
24,73,4,176,78,Right,CDM,69,1.8,500.0,4.1
29,60,0,195,82,Right,GK,60,0.17,1000.0,0.23
29,76,0,190,78,Right,CB,76,6.5,12000.0,9.8
19,80,13,191,78,Right,CDM,67,2.3,4000.0,4.4
28,68,0,188,80,Right,CB,68,1.0,7000.0,1.9
17,73,20,171,64,Left,LM,53,0.25,500.0,0.8
22,73,10,170,62,Right,RB,63,1.0,4000.0,2.4
22,79,9,184,77,Right,LM,70,3.6,7000.0,7.9
24,78,4,185,76,Right,RB,74,5.5,18000.0,12.0
22,63,8,187,73,Right,CB,55,0.275,1000.0,0.454
23,81,6,186,86,Right,CB,75,8.0,24000.0,15.2
29,74,0,185,70,Left,LB,74,3.7,37000.0,7.4
29,81,0,170,58,Left,LB,81,22.5,1000.0,47.3
19,81,16,191,80,Right,CB,65,1.7,1000.0,4.0
20,66,11,178,73,Right,CM,55,0.275,1000.0,0.454
19,76,14,183,72,Right,CM,62,0.95,2000.0,2.6
18,71,18,197,89,Right,GK,53,0.21,500.0,0.436
18,73,13,180,80,Right,RB,60,0.55,500.0,1.5
18,77,15,182,75,Right,CB,62,0.875,750.0,1.8
22,72,10,178,68,Right,RM,62,0.5,500.0,0.825
31,73,0,171,74,Right,CDM,73,2.1,14000.0,4.0
32,73,0,190,90,Right,GK,73,1.5,18000.0,2.7
26,75,1,189,82,Right,CAM,74,5.0,14000.0,6.9
20,63,7,180,68,Right,ST,56,0.275,2000.0,0.536
23,83,5,173,63,Right,RB,78,20.0,800.0,43.5
26,66,1,178,73,Right,RB,65,0.775,5000.0,1.5
22,76,11,180,74,Right,RM,65,1.6,1000.0,2.6
19,77,16,189,78,Right,CM,61,0.85,8000.0,0.0
27,64,0,184,85,Right,GK,64,0.45,1000.0,0.788
39,72,0,193,79,Right,GK,72,0.25,16000.0,0.425
23,78,5,183,72,Right,LM,73,4.6,31000.0,0.0
17,67,15,183,75,Right,CDM,52,0.17,500.0,0.336
24,58,4,188,79,Right,GK,54,0.12,800.0,0.189
26,71,0,182,70,Left,LB,71,1.9,6000.0,2.8
20,70,12,176,65,Right,CDM,58,0.475,650.0,0.689
24,81,7,178,75,Left,LB,74,8.0,11000.0,13.6
19,67,15,186,76,Left,GK,52,0.17,500.0,0.319
31,58,0,183,77,Right,ST,58,0.12,2000.0,0.0
22,73,8,172,63,Right,RW,65,1.6,4000.0,3.8
25,66,1,172,64,Right,LM,65,0.85,3000.0,1.6
18,73,17,187,76,Right,GK,56,0.325,500.0,0.658
25,81,3,182,86,Left,ST,78,19.0,2000.0,43.2
16,74,16,176,71,Right,RB,58,0.475,500.0,1.2
16,70,14,170,69,Right,RW,56,0.325,500.0,0.642
